setting,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1
"MVTec (Best, fixed prompts + DINOv2)",0.9109361847241719,0.4084149658679962,0.877327658995533,0.8649815697791094,0.9421697770978824,0.9042596497787986
"MVTec (Bayes refined, MC=8, sigma=0.001)",0.9110137184460958,0.4086479355891546,0.8777250102765486,0.8645267569374676,0.941818184987855,0.9045253501754549
"VisA (Best, fixed prompts + DINOv2, map_max)",0.8468423237403234,0.1778827509842813,0.8088688765490367,0.810551897689769,0.8437690530478728,0.8057936717301383
"VisA (Bayes refined, MC=8, sigma=0.001, map_max)",0.8469640016555786,0.17810401475677887,0.809353617604399,0.8111609735973598,0.844385327965849,0.8059198440357321
